YEAR_MONTH;TOTAL_IN;TOTAL_IN_ICU;NEW_IN;NEW_IN_ICU;TOTAL_IN_RESP;TOTAL_IN_ECMO
2020-03;5635;1202;763;763;963;36
2020-04;20411;3791;1258;1258;2947;252
2020-05;7593;1119;269;269;758;104
2020-06;1195;100;89;89;66;20
2020-07;461;94;43;43;51;4
2020-08;654;121;68;68;90;17
2020-09;1207;170;142;142;92;0
2020-10;14802;2148;1913;1913;1247;81
2020-11;33464;6353;2396;2396;4467;490
2020-12;12277;2839;855;855;1913;214
2021-01;8434;1721;535;535;1026;179
2021-02;8254;1396;518;518;855;60
2021-03;11384;2655;976;976;1774;250
2021-04;16245;4179;1194;1194;2905;397
2021-05;12326;3509;751;751;2402;420
2021-06;4512;1722;261;261;1192;337
2021-07;1601;506;120;120;340;98
2021-08;2240;584;207;207;381;47
2021-09;2377;614;219;219;341;94
2021-10;3638;619;350;350;330;111
2021-11;10011;1808;854;854;1233;199
2021-12;11841;2828;858;858;1769;272
2022-01;12228;1787;1149;1149;1072;187
2022-02;13976;1362;877;877;693;97
2022-03;7016;609;430;430;373;83
2022-04;9522;535;492;492;218;56
2022-05;6121;408;305;305;117;14
2022-06;4139;234;231;231;39;0
2022-07;9333;426;517;517;82;2
2022-08;5867;455;329;329;166;6
2022-09;3645;244;280;280;139;32
2022-10;6586;276;340;340;117;17
2022-11;3508;154;184;184;27;0
2022-12;7738;342;405;405;114;6
2023-01;4265;265;126;126;88;2
2023-02;2581;88;99;99;50;0
2023-03;7759;347;346;346;109;1
2023-04;6692;365;277;277;150;1
2023-05;2065;125;128;128;41;2
2023-06;135;6;67;67;0;0
