YEAR_MONTH;TOTAL_IN;TOTAL_IN_ICU;NEW_IN;NEW_IN_ICU;TOTAL_IN_RESP;TOTAL_IN_ECMO
2020-03;3948;854;721;721;574;0
2020-04;12252;2671;947;947;1914;46
2020-05;4598;1014;228;228;585;37
2020-06;1192;250;78;78;126;0
2020-07;453;57;47;47;24;0
2020-08;340;101;23;23;54;0
2020-09;348;81;60;60;5;0
2020-10;2806;646;337;337;184;36
2020-11;7597;2073;545;545;1109;134
2020-12;4009;834;349;349;450;85
2021-01;4417;752;348;348;345;77
2021-02;3265;717;299;299;367;81
2021-03;3523;1010;383;383;471;105
2021-04;5554;1598;523;523;771;85
2021-05;3684;1222;338;338;603;88
2021-06;779;264;68;68;152;35
2021-07;185;73;30;30;32;1
2021-08;598;196;81;81;111;23
2021-09;779;233;78;78;104;8
2021-10;1251;258;161;161;115;2
2021-11;5461;1301;664;664;642;53
2021-12;6558;1696;460;460;944;114
2022-01;4065;843;455;455;402;96
2022-02;6125;558;536;536;245;40
2022-03;5446;294;549;549;70;0
2022-04;6280;322;539;539;146;1
2022-05;3309;185;226;226;79;0
2022-06;1262;124;121;121;31;0
2022-07;2959;103;326;326;16;0
2022-08;1907;70;216;216;34;0
2022-09;1321;55;126;126;8;0
2022-10;2289;124;233;233;36;0
2022-11;1281;83;112;112;30;3
2022-12;3068;120;323;323;18;0
2023-01;2108;110;176;176;42;0
2023-02;2429;127;292;292;53;1
2023-03;4511;241;417;417;33;0
2023-04;1812;96;148;148;34;7
2023-05;686;28;65;65;0;0
2023-06;15;1;26;26;0;0
