YEAR_MONTH;TOTAL_IN;TOTAL_IN_ICU;NEW_IN;NEW_IN_ICU;TOTAL_IN_RESP;TOTAL_IN_ECMO
2020-03;799;199;166;166;165;15
2020-04;4912;1218;364;364;840;107
2020-05;2338;460;87;87;255;72
2020-06;365;45;11;11;21;0
2020-07;129;1;3;3;0;0
2020-08;252;48;19;19;26;0
2020-09;149;49;21;21;24;15
2020-10;4417;764;511;511;424;26
2020-11;8796;2177;497;497;1454;161
2020-12;3630;1158;234;234;872;163
2021-01;1564;461;106;106;324;18
2021-02;1395;296;129;129;141;17
2021-03;3435;974;352;352;568;40
2021-04;5000;1512;378;378;949;83
2021-05;2758;1218;158;158;849;109
2021-06;920;528;31;31;364;20
2021-07;318;183;15;15;132;0
2021-08;515;184;38;38;77;13
2021-09;556;215;51;51;94;19
2021-10;912;259;89;89;164;17
2021-11;2850;712;233;233;422;78
2021-12;4245;1127;292;292;597;157
2022-01;3376;623;240;240;273;82
2022-02;3988;608;229;229;271;76
2022-03;1985;337;130;130;127;39
2022-04;2950;156;169;169;30;5
2022-05;1949;121;122;122;28;0
2022-06;1050;35;78;78;5;0
2022-07;2321;75;205;205;8;0
2022-08;1660;117;99;99;63;6
2022-09;819;69;86;86;21;0
2022-10;2048;70;132;132;28;0
2022-11;760;55;47;47;46;0
2022-12;2140;98;158;158;44;0
2023-01;1056;78;48;48;31;0
2023-02;941;69;50;50;36;0
2023-03;2540;94;208;208;45;5
2023-04;1438;113;86;86;40;0
2023-05;442;28;61;61;11;0
2023-06;15;0;13;13;0;0
