YEAR_MONTH;TOTAL_IN;TOTAL_IN_ICU;NEW_IN;NEW_IN_ICU;TOTAL_IN_RESP;TOTAL_IN_ECMO
2020-03;4053;969;720;720;649;10
2020-04;17726;4283;1089;1089;2906;57
2020-05;5902;1412;196;196;662;46
2020-06;1374;214;49;49;87;13
2020-07;503;54;41;41;33;0
2020-08;601;90;72;72;40;0
2020-09;1208;203;171;171;89;0
2020-10;8501;1498;1136;1136;601;16
2020-11;22069;4894;1573;1573;2343;216
2020-12;13200;2578;851;851;1058;283
2021-01;9513;1791;578;578;793;121
2021-02;8130;1599;610;610;724;79
2021-03;11365;2725;939;939;1101;142
2021-04;11918;4000;914;914;1910;218
2021-05;6557;2422;434;434;1144;140
2021-06;1758;760;96;96;364;70
2021-07;692;268;83;83;190;15
2021-08;1323;389;158;158;213;6
2021-09;1796;707;133;133;486;100
2021-10;2658;699;248;248;385;135
2021-11;10182;2111;1025;1025;933;126
2021-12;12434;3240;881;881;1584;218
2022-01;8065;1482;957;957;648;82
2022-02;11701;1063;926;926;348;17
2022-03;12035;677;1023;1023;141;0
2022-04;14511;620;1063;1063;120;0
2022-05;6622;341;509;509;82;0
2022-06;4675;254;429;429;91;0
2022-07;8560;462;769;769;89;0
2022-08;5202;421;411;411;130;0
2022-09;2641;193;283;283;48;0
2022-10;5804;243;516;516;53;0
2022-11;3151;165;307;307;20;0
2022-12;6441;324;571;571;30;0
2023-01;4310;268;362;362;84;0
2023-02;6148;226;521;521;45;0
2023-03;9525;591;688;688;78;7
2023-04;4893;279;363;363;35;0
2023-05;1513;73;251;251;2;0
2023-06;104;8;154;154;0;0
