YEAR_MONTH;TOTAL_IN;TOTAL_IN_ICU;NEW_IN;NEW_IN_ICU;TOTAL_IN_RESP;TOTAL_IN_ECMO
2020-03;4130;752;689;689;483;0
2020-04;17507;3233;1100;1100;1975;23
2020-05;7513;1399;284;284;746;45
2020-06;2035;333;77;77;198;1
2020-07;1199;115;116;116;43;0
2020-08;546;63;47;47;20;4
2020-09;720;101;86;86;37;0
2020-10;6380;1065;926;926;484;3
2020-11;18965;3824;1603;1603;2093;136
2020-12;12356;1993;1012;1012;1143;151
2021-01;9294;1300;726;726;597;21
2021-02;6605;1194;585;585;655;53
2021-03;7630;1858;742;742;948;114
2021-04;8938;2719;760;760;1393;78
2021-05;4802;1592;417;417;935;158
2021-06;1316;520;118;118;333;61
2021-07;551;217;73;73;99;5
2021-08;1121;284;146;146;142;64
2021-09;1337;337;124;124;151;58
2021-10;2836;471;373;373;232;36
2021-11;11759;1939;1295;1295;709;12
2021-12;10361;2876;939;939;1503;99
2022-01;7868;1104;1019;1019;556;80
2022-02;10823;771;966;966;203;20
2022-03;10094;629;1002;1002;167;0
2022-04;12620;680;999;999;169;2
2022-05;5441;353;401;401;132;2
2022-06;4285;224;411;411;77;0
2022-07;7694;380;670;670;91;1
2022-08;4875;339;366;366;73;1
2022-09;2863;161;287;287;38;1
2022-10;4366;194;395;395;29;2
2022-11;2341;178;197;197;39;0
2022-12;4952;170;444;444;48;0
2023-01;3689;283;309;309;120;0
2023-02;6195;244;624;624;38;0
2023-03;10235;513;998;998;83;1
2023-04;3763;155;313;313;25;0
2023-05;1172;76;179;179;6;0
2023-06;36;1;40;40;0;0
