YEAR_MONTH;TOTAL_IN;TOTAL_IN_ICU;NEW_IN;NEW_IN_ICU;TOTAL_IN_RESP;TOTAL_IN_ECMO
2020-03;6712;1293;1075;1075;1008;16
2020-04;23781;5696;1389;1389;4501;103
2020-05;10251;2186;382;382;1379;45
2020-06;1860;461;113;113;207;30
2020-07;1200;309;156;156;161;22
2020-08;2700;847;299;299;438;70
2020-09;2413;551;287;287;263;38
2020-10;10164;1947;1313;1313;925;55
2020-11;21900;5056;1499;1499;3028;171
2020-12;14643;2943;814;814;1819;189
2021-01;10031;1805;569;569;951;127
2021-02;6722;1125;492;492;588;77
2021-03;10521;2559;887;887;1387;213
2021-04;11992;3701;925;925;2054;210
2021-05;8115;2689;608;608;1623;128
2021-06;2822;1037;211;211;570;164
2021-07;1216;364;116;116;174;35
2021-08;2276;641;286;286;301;75
2021-09;2477;909;255;255;493;92
2021-10;4165;1003;392;392;459;120
2021-11;11489;2417;1147;1147;1220;110
2021-12;12476;3216;908;908;1708;171
2022-01;9623;1550;1158;1158;760;185
2022-02;14948;1260;1178;1178;492;39
2022-03;14884;961;1089;1089;359;0
2022-04;14705;848;951;951;278;5
2022-05;6812;413;427;427;134;2
2022-06;4299;262;425;425;102;0
2022-07;8738;449;735;735;178;1
2022-08;5615;242;404;404;70;0
2022-09;3278;153;286;286;47;0
2022-10;6232;270;404;404;63;0
2022-11;3323;103;169;169;47;0
2022-12;6467;310;393;393;105;0
2023-01;5404;279;282;282;90;1
2023-02;7316;245;464;464;89;0
2023-03;10322;519;569;569;225;0
2023-04;4604;226;211;211;70;2
2023-05;1419;56;158;158;8;2
2023-06;118;4;67;67;0;0
