YEAR_MONTH;TOTAL_IN;TOTAL_IN_ICU;NEW_IN;NEW_IN_ICU;TOTAL_IN_RESP;TOTAL_IN_ECMO
2020-03;586;151;102;102;137;0
2020-04;1642;418;106;106;334;0
2020-05;553;149;18;18;88;0
2020-06;67;2;6;6;0;0
2020-07;30;0;5;5;0;0
2020-08;30;0;5;5;0;0
2020-09;95;19;12;12;4;0
2020-10;1566;209;304;304;53;0
2020-11;3063;479;265;265;339;0
2020-12;836;179;77;77;127;0
2021-01;730;93;92;92;76;0
2021-02;869;124;116;116;65;0
2021-03;1141;276;125;125;190;0
2021-04;1150;293;122;122;191;0
2021-05;681;203;63;63;149;0
2021-06;239;45;30;30;18;0
2021-07;82;1;10;10;1;0
2021-08;180;35;21;21;12;0
2021-09;299;90;29;29;26;0
2021-10;423;116;50;50;38;0
2021-11;995;222;110;110;130;8
2021-12;947;264;80;80;179;23
2022-01;1216;196;92;92;117;0
2022-02;1669;211;75;75;141;13
2022-03;504;115;27;27;111;11
2022-04;1383;69;82;82;54;0
2022-05;526;8;46;46;4;0
2022-06;353;27;45;45;5;0
2022-07;1035;46;89;89;21;0
2022-08;624;77;59;59;44;0
2022-09;320;31;29;29;8;0
2022-10;466;8;32;32;0;0
2022-11;303;14;34;34;2;0
2022-12;954;25;62;62;8;0
2023-01;351;25;24;24;12;0
2023-02;438;8;20;20;1;0
2023-03;792;21;52;52;11;0
2023-04;626;23;31;31;6;0
2023-05;193;13;24;24;0;0
2023-06;4;1;4;4;0;0
