YEAR_MONTH,;TOTAL_IN;TOTAL_IN_ICU;NEW_IN;NEW_IN_ICU;TOTAL_IN_RESP;TOTAL_IN_ECMO
2020-03;6448;1398;881;881;1048;52
2020-04;24406;5364;1422;1422;4123;454
2020-05;10616;2296;287;287;1532;232
2020-06;2918;698;115;115;370;80
2020-07;938;290;79;79;120;11
2020-08;2624;623;239;239;324;52
2020-09;3758;856;432;432;517;106
2020-10;16959;2940;1950;1950;1789;312
2020-11;26288;5605;1622;1622;3764;659
2020-12;11224;3002;608;608;2040;514
2021-01;7348;1717;450;450;986;244
2021-02;6029;1244;484;484;680;94
2021-03;11546;2784;998;998;1682;278
2021-04;14937;4220;1126;1126;2792;588
2021-05;9095;3256;559;559;2258;558
2021-06;3714;1648;226;226;1117;225
2021-07;2379;988;205;205;637;108
2021-08;4864;1539;455;455;796;148
2021-09;6322;1973;506;506;1226;327
2021-10;7046;1801;521;521;1093;292
2021-11;11087;2196;817;817;1354;359
2021-12;11602;3098;907;907;1895;469
2022-01;16636;2615;1369;1369;1644;403
2022-02;14340;1911;692;692;997;188
2022-03;6726;924;456;456;484;108
2022-04;8533;697;538;538;273;60
2022-05;5475;401;306;306;98;16
2022-06;3884;287;274;274;95;0
2022-07;9057;411;492;492;127;0
2022-08;5896;487;287;287;156;1
2022-09;3416;293;214;214;96;0
2022-10;6078;301;296;296;85;6
2022-11;4084;246;204;204;94;0
2022-12;7674;445;428;428;165;2
2023-01;3765;273;148;148;114;0
2023-02;3255;142;199;199;45;0
2023-03;7113;431;381;381;171;3
2023-04;4996;320;260;260;119;0
2023-05;1791;143;168;168;58;0
2023-06;146;25;98;98;0;0
