YEAR_MONTH;TOTAL_IN;TOTAL_IN_ICU;NEW_IN;NEW_IN_ICU;TOTAL_IN_RESP;TOTAL_IN_ECMO
2020-03;3627;805;617;617;635;20
2020-04;15347;3907;932;932;3206;55
2020-05;4798;1147;151;151;649;36
2020-06;1069;179;33;33;90;14
2020-07;376;92;36;36;59;0
2020-08;956;312;92;92;178;0
2020-09;1446;355;164;164;225;9
2020-10;16154;2482;1764;1764;1333;42
2020-11;25690;4910;1463;1463;3180;133
2020-12;8243;2045;525;525;1489;128
2021-01;5451;1148;350;350;639;65
2021-02;3575;914;240;240;506;54
2021-03;3726;967;301;301;536;49
2021-04;7603;2542;602;602;1403;93
2021-05;6294;1816;395;395;1182;60
2021-06;2284;587;122;122;343;30
2021-07;564;165;49;49;113;13
2021-08;1885;442;218;218;152;6
2021-09;3525;991;321;321;454;65
2021-10;5403;1191;500;500;509;62
2021-11;11400;2094;980;980;1094;40
2021-12;10617;2539;760;760;1501;48
2022-01;10140;1372;1025;1025;779;15
2022-02;10886;1247;838;838;661;28
2022-03;5680;414;442;442;193;24
2022-04;8504;554;643;643;276;10
2022-05;5490;482;352;352;188;0
2022-06;2847;244;239;239;76;0
2022-07;6272;495;598;598;215;0
2022-08;4276;301;358;358;107;0
2022-09;2762;192;275;275;84;0
2022-10;5460;384;428;428;175;1
2022-11;2887;274;222;222;90;0
2022-12;5733;288;416;416;94;1
2023-01;2630;268;152;152;148;1
2023-02;2074;131;174;174;38;0
2023-03;5723;268;535;535;67;1
2023-04;4100;320;293;293;141;12
2023-05;1076;115;142;142;30;0
2023-06;47;3;76;76;0;0
