YEAR_MONTH;TOTAL_IN;TOTAL_IN_ICU;NEW_IN;NEW_IN_ICU;TOTAL_IN_RESP;TOTAL_IN_ECMO
2020-03;886;203;146;146;135;1
2020-04;2922;613;210;210;474;7
2020-05;996;136;28;28;97;0
2020-06;284;9;20;20;2;0
2020-07;124;3;4;4;0;0
2020-08;16;0;5;5;0;0
2020-09;131;21;12;12;1;0
2020-10;2020;366;202;202;173;0
2020-11;4693;1037;285;285;689;3
2020-12;2123;384;120;120;190;17
2021-01;1223;205;56;56;119;32
2021-02;682;162;56;56;95;0
2021-03;1569;427;147;147;213;22
2021-04;2258;661;214;214;381;17
2021-05;1024;354;85;85;230;0
2021-06;132;42;10;10;19;0
2021-07;114;35;11;11;30;0
2021-08;343;92;26;26;39;0
2021-09;477;110;33;33;40;0
2021-10;638;230;87;87;136;0
2021-11;1629;366;166;166;131;0
2021-12;1838;471;120;120;176;0
2022-01;1073;298;98;98;167;0
2022-02;1491;251;113;113;96;0
2022-03;810;105;43;43;54;0
2022-04;1173;97;46;46;30;0
2022-05;601;94;21;21;5;0
2022-06;342;58;17;17;0;0
2022-07;776;35;37;37;16;0
2022-08;502;53;41;41;28;0
2022-09;360;21;33;33;14;0
2022-10;623;32;55;55;4;1
2022-11;163;27;13;13;0;0
2022-12;606;47;44;44;4;1
2023-01;224;19;17;17;10;0
2023-02;350;0;22;22;0;0
2023-03;933;96;76;76;17;2
2023-04;578;49;59;59;20;0
2023-05;114;17;16;16;15;0
2023-06;22;1;10;10;0;0
