YEAR_MONTH;TOTAL_IN;TOTAL_IN_ICU;NEW_IN;NEW_IN_ICU;TOTAL_IN_RESP;TOTAL_IN_ECMO
2020-03;2390;532;375;375;352;18
2020-04;7876;1830;525;525;1216;147
2020-05;2165;515;85;85;301;103
2020-06;435;90;19;19;79;21
2020-07;241;75;7;7;37;0
2020-08;301;137;24;24;79;14
2020-09;447;87;45;45;68;0
2020-10;2830;608;334;334;252;10
2020-11;7599;2034;436;436;1247;101
2020-12;3929;985;221;221;633;107
2021-01;2614;375;178;178;143;37
2021-02;1918;331;119;119;134;38
2021-03;2313;511;206;206;279;46
2021-04;4397;1420;275;275;889;98
2021-05;3019;1072;151;151;646;59
2021-06;1286;389;59;59;160;24
2021-07;587;120;51;51;86;8
2021-08;838;181;66;66;89;11
2021-09;796;259;61;61;130;10
2021-10;1299;372;120;120;168;32
2021-11;4144;986;402;402;514;89
2021-12;5021;1517;321;321;838;104
2022-01;5079;977;355;355;443;40
2022-02;5977;716;267;267;258;27
2022-03;6605;638;295;295;293;53
2022-04;7278;530;272;272;174;22
2022-05;4437;414;118;118;261;16
2022-06;2418;160;97;97;97;3
2022-07;3688;293;172;172;56;6
2022-08;3019;237;105;105;65;16
2022-09;1884;181;85;85;15;0
2022-10;2911;268;142;142;79;3
2022-11;2022;188;162;162;66;0
2022-12;3436;209;284;284;53;0
2023-01;2523;212;133;133;50;0
2023-02;3057;99;243;243;15;0
2023-03;4557;276;397;397;84;3
2023-04;2439;249;134;134;61;13
2023-05;951;56;81;81;24;5
2023-06;62;8;15;15;0;0
